"schema","table","owner"
"auth","audit_log_entries","supabase_auth_admin"
"auth","flow_state","supabase_auth_admin"
"auth","identities","supabase_auth_admin"
"auth","instances","supabase_auth_admin"
"auth","mfa_amr_claims","supabase_auth_admin"
"auth","mfa_challenges","supabase_auth_admin"
"auth","mfa_factors","supabase_auth_admin"
"auth","one_time_tokens","supabase_auth_admin"
"auth","refresh_tokens","supabase_auth_admin"
"auth","saml_providers","supabase_auth_admin"
"auth","saml_relay_states","supabase_auth_admin"
"auth","schema_migrations","supabase_auth_admin"
"auth","sessions","supabase_auth_admin"
"auth","sso_domains","supabase_auth_admin"
"auth","sso_providers","supabase_auth_admin"
"auth","users","supabase_auth_admin"
"pgsodium","key","supabase_admin"
"public","audit_logs","postgres"
"public","events","postgres"
"public","photos","postgres"
"public","role_capabilities","postgres"
"public","roles","postgres"
"public","user_profiles","postgres"
"realtime","messages","supabase_realtime_admin"
"realtime","schema_migrations","supabase_admin"
"realtime","subscription","supabase_admin"
"storage","buckets","supabase_storage_admin"
"storage","migrations","supabase_storage_admin"
"storage","objects","supabase_storage_admin"
"storage","s3_multipart_uploads","supabase_storage_admin"
"storage","s3_multipart_uploads_parts","supabase_storage_admin"
"vault","secrets","supabase_admin"